geneID	geneSymbol	bioType	length	geneInfo	chromosome	start	end
ENSG00000176797.3	DEFB103A	protein_coding	518	defensin beta 103A	chr8	7881392	7882663
ENSG00000176798.2	OR51L1	protein_coding	3481.25	olfactory receptor family 51 subfamily L member 1	chr11	4994851	5005536
ENSG00000176809.10	LRRC37A3	protein_coding	1954.14	leucine rich repeat containing 37 member A3	chr17	64854130	64919480
ENSG00000176812.7	AC112778.1	processed_pseudogene	827	METTL1 pseudogene 1	chrX	25194381	25195207
ENSG00000176826.15	FKBP9P1	transcribed_unprocessed_pseudogene	2451	FKBP prolyl isomerase 9 pseudogene 1	chr7	55682652	55713252
ENSG00000176834.14	VSIG10	protein_coding	898.04	V-set and immunoglobulin domain containing 10	chr12	118063593	118136026
ENSG00000176840.12	MIR7-3HG	lncRNA	813.59	MIR7-3 host gene	chr19	4769031	4785077
ENSG00000176842.14	IRX5	protein_coding	1687.63	iroquois homeobox 5	chr16	54930865	54934485
ENSG00000176845.13	METRNL	protein_coding	1135.83	meteorin like, glial cell differentiation regulator	chr17	83079609	83095122
ENSG00000176853.16	FAM91A1	protein_coding	2766.49	family with sequence similarity 91 member A1	chr8	123768439	123815452
ENSG00000176855.11	KRT18P28	processed_pseudogene	1332	keratin 18 pseudogene 28	chr1	182959074	182960405
ENSG00000176857.5	GJA1P1	processed_pseudogene	1143	gap junction protein alpha 1 pseudogene 1	chr5	109051315	109052457
ENSG00000176868.2	AL358781.1	lncRNA	2580.98		chr9	131497479	131500191
ENSG00000176871.8	WSB2	protein_coding	1979.69	WD repeat and SOCS box containing 2	chr12	118032687	118062430
ENSG00000176882.5	AL135901.1	processed_pseudogene	333		chr13	49620314	49620646
ENSG00000176884.15	GRIN1	protein_coding	3577	glutamate ionotropic receptor NMDA type subunit 1	chr9	137139154	137168756
ENSG00000176887.7	SOX11	protein_coding	9002	SRY-box transcription factor 11	chr2	5692384	5701385
ENSG00000176890.16	TYMS	protein_coding	1281.8	thymidylate synthetase	chr18	657653	673578
ENSG00000176893.5	OR51G2	protein_coding	2174.5	olfactory receptor family 51 subfamily G member 2	chr11	4912588	4919350
ENSG00000176894.10	PXMP2	protein_coding	772.34	peroxisomal membrane protein 2	chr12	132687587	132704985
ENSG00000176895.9	OR51A7	protein_coding	1617	olfactory receptor family 51 subfamily A member 7	chr11	4903783	4909462
ENSG00000176896.8	TCEANC	protein_coding	1185.26	transcription elongation factor A N-terminal and central domain containing	chrX	13653112	13681964
ENSG00000176900.2	OR51T1	protein_coding	1024.5	olfactory receptor family 51 subfamily T member 1	chr11	4881819	4882883
ENSG00000176903.4	PNMA1	protein_coding	2590	PNMA family member 1	chr14	73711783	73714384
ENSG00000176904.3	OR51H1	transcribed_unprocessed_pseudogene	996.5	olfactory receptor family 51 subfamily H member 1	chr11	4859610	4860564
ENSG00000176907.4	TCIM	protein_coding	1854	transcriptional and immune response regulator	chr8	40153482	40155310
ENSG00000176909.12	MAMSTR	protein_coding	1858	MEF2 activating motif and SAP domain containing transcriptional regulator	chr19	48712725	48719725
ENSG00000176912.4	TYMSOS	lncRNA	823.9	TYMS opposite strand RNA	chr18	630886	658350
ENSG00000176915.15	ANKLE2	protein_coding	3437.55	ankyrin repeat and LEM domain containing 2	chr12	132725503	132761832
ENSG00000176919.13	C8G	protein_coding	430	complement C8 gamma chain	chr9	136945185	136946975
ENSG00000176920.12	FUT2	protein_coding	3111	fucosyltransferase 2	chr19	48695971	48705951
ENSG00000176922.4	OR51S1	protein_coding	1750	olfactory receptor family 51 subfamily S member 1	chr11	4848237	4849208
ENSG00000176923.5	OR7A15P	unprocessed_pseudogene	1009	olfactory receptor family 7 subfamily A member 15 pseudogene	chr19	14927052	14928060
ENSG00000176925.7	OR51F2	protein_coding	1064.5	olfactory receptor family 51 subfamily F member 2	chr11	4821321	4822456
ENSG00000176927.15	EFCAB5	protein_coding	1834.46	EF-hand calcium binding domain 5	chr17	29929200	30108452
ENSG00000176928.6	GCNT4	protein_coding	3913.43	glucosaminyl (N-acetyl) transferase 4	chr5	75025346	75052558
ENSG00000176933.5	TOB2P1	processed_pseudogene	992	transducer of ERBB2, 2 pseudogene 1	chr6	28217643	28218634
ENSG00000176945.17	MUC20	protein_coding	1926.04	mucin 20, cell surface associated	chr3	195720884	195741123
ENSG00000176946.12	THAP4	protein_coding	1693.72	THAP domain containing 4	chr2	241584405	241637158
ENSG00000176951.6	OR51N1P	unprocessed_pseudogene	952	olfactory receptor family 51 subfamily N member 1 pseudogene	chr11	4786754	4787705
ENSG00000176953.12	NFATC2IP	protein_coding	2353.93	nuclear factor of activated T cells 2 interacting protein	chr16	28950807	28967092
ENSG00000176956.12	LY6H	protein_coding	1100.6	lymphocyte antigen 6 family member H	chr8	143157914	143160711
ENSG00000176970.8	RPL7L1P11	processed_pseudogene	721	ribosomal protein L7 like 1 pseudogene 11	chrX	148464708	148465428
ENSG00000176971.3	FIBIN	protein_coding	1938	fin bud initiation factor homolog	chr11	26994112	26997087
ENSG00000176973.8	FAM89B	protein_coding	1283.39	family with sequence similarity 89 member B	chr11	65572349	65574198
ENSG00000176974.20	SHMT1	protein_coding	1860.86	serine hydroxymethyltransferase 1	chr17	18327860	18363563
ENSG00000176978.14	DPP7	protein_coding	1064.57	dipeptidyl peptidase 7	chr9	137110546	137115177
ENSG00000176979.14	TRIM60	protein_coding	1695.8	tripartite motif containing 60	chr4	165016458	165041749
ENSG00000176984.6	AP000679.1	lncRNA	1318	uncharacterized LOC107984399	chr11	120168977	120171679
ENSG00000176986.16	SEC24C	protein_coding	3068.46	SEC24 homolog C, COPII coat complex component	chr10	73744372	73772161
ENSG00000176988.9	FMR1NB	protein_coding	786.5	FMR1 neighbor	chrX	147981337	148026665
ENSG00000176994.11	SMCR8	protein_coding	8297	SMCR8-C9orf72 complex subunit	chr17	18315293	18328056
ENSG00000176998.4	HCG4	unprocessed_pseudogene	998	HLA complex group 4	chr6	29791753	29792750
ENSG00000177000.12	MTHFR	protein_coding	2936.15	methylenetetrahydrofolate reductase	chr1	11785723	11806455
ENSG00000177023.2	DEFB104B	protein_coding	281	defensin beta 104B	chr8	7470308	7475082
ENSG00000177025.3	C19orf18	protein_coding	915	chromosome 19 open reading frame 18	chr19	57958437	57974534
ENSG00000177030.16	DEAF1	protein_coding	1284.9	DEAF1 transcription factor	chr11	644233	707118
ENSG00000177034.16	MTX3	protein_coding	7442.38	metaxin 3	chr5	79976716	79991262
ENSG00000177042.14	TMEM80	protein_coding	1471.67	transmembrane protein 80	chr11	695591	705028
ENSG00000177045.10	SIX5	protein_coding	2132.25	SIX homeobox 5	chr19	45764785	45769252
ENSG00000177047.6	IFNW1	protein_coding	1932	interferon omega 1	chr9	21140632	21141832
ENSG00000177051.6	FBXO46	protein_coding	2552.33	F-box protein 46	chr19	45710629	45730896
ENSG00000177054.14	ZDHHC13	protein_coding	2167.27	zinc finger DHHC-type palmitoyltransferase 13	chr11	19117099	19176422
ENSG00000177058.12	SLC38A9	protein_coding	978.71	solute carrier family 38 member 9	chr5	55625845	55773194
ENSG00000177076.6	ACER2	protein_coding	2773	alkaline ceramidase 2	chr9	19409009	19452505
ENSG00000177082.12	WDR73	protein_coding	2682.3	WD repeat domain 73	chr15	84639285	84654343
ENSG00000177084.16	POLE	protein_coding	3263.6	DNA polymerase epsilon, catalytic subunit	chr12	132623753	132687376
ENSG00000177096.9	PHETA2	protein_coding	2335	PH domain containing endocytic trafficking adaptor 2	chr22	42074248	42079438
ENSG00000177098.8	SCN4B	protein_coding	2592.5	sodium voltage-gated channel beta subunit 4	chr11	118133377	118152888
ENSG00000177103.14	DSCAML1	protein_coding	6099	DS cell adhesion molecule like 1	chr11	117427772	117817525
ENSG00000177105.10	RHOG	protein_coding	1288.75	ras homolog family member G	chr11	3826978	3840959
ENSG00000177106.16	EPS8L2	protein_coding	1407.8	EPS8 like 2	chr11	694438	727727
ENSG00000177108.5	ZDHHC22	protein_coding	1447	zinc finger DHHC-type palmitoyltransferase 22	chr14	77131270	77142734
ENSG00000177112.8	MRVI1-AS1	lncRNA	724.8	IRAG1 antisense RNA 1	chr11	10541258	10599939
ENSG00000177119.16	ANO6	protein_coding	5075.95	anoctamin 6	chr12	45215987	45482280
ENSG00000177125.5	ZBTB34	protein_coding	6556.96	zinc finger and BTB domain containing 34	chr9	126860639	126885878
ENSG00000177133.11	PRDM16-DT	lncRNA	1658.4	PRDM16 divergent transcript	chr1	3059611	3069091
ENSG00000177138.16	FAM9B	protein_coding	1788.43	family with sequence similarity 9 member B	chrX	9024232	9295682
ENSG00000177143.4	CETN1	protein_coding	1758	centrin 1	chr18	580380	582114
ENSG00000177144.7	NUDT4B	protein_coding	1206	nudix hydrolase 4B	chr1	148748774	148752415
ENSG00000177150.13	FAM210A	protein_coding	2117.02	family with sequence similarity 210 member A	chr18	13663347	13726663
ENSG00000177151.4	OR2T35	protein_coding	2957	olfactory receptor family 2 subfamily T member 35	chr1	248636356	248645278
ENSG00000177156.11	TALDO1	protein_coding	966.54	transaldolase 1	chr11	747415	765012
ENSG00000177169.10	ULK1	protein_coding	2299.47	unc-51 like autophagy activating kinase 1	chr12	131894622	131923150
ENSG00000177173.5	NAP1L4P1	processed_pseudogene	1157	nucleosome assembly protein 1 like 4 pseudogene 1	chr1	116532936	116534092
ENSG00000177174.1	OR14C36	protein_coding	939	olfactory receptor family 14 subfamily C member 36	chr1	248348775	248349713
ENSG00000177181.15	RIMKLA	protein_coding	10577	ribosomal modification protein rimK like family member A	chr1	42380792	42424232
ENSG00000177182.11	CLVS1	protein_coding	582	clavesin 1	chr8	61057158	61501645
ENSG00000177186.3	OR2M7	protein_coding	939	olfactory receptor family 2 subfamily M member 7	chr1	248323630	248324568
ENSG00000177189.14	RPS6KA3	protein_coding	5798.14	ribosomal protein S6 kinase A3	chrX	20149911	20267519
ENSG00000177191.2	B3GNT8	protein_coding	1773.93	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8	chr19	41425359	41428730
ENSG00000177192.13	PUS1	protein_coding	1380.51	pseudouridine synthase 1	chr12	131929200	131945896
ENSG00000177197.7	PCNPP5	processed_pseudogene	481	PEST containing nuclear protein pseudogene 5	chr13	48328084	48328564
ENSG00000177200.17	CHD9	protein_coding	2745.92	chromodomain helicase DNA binding protein 9	chr16	53054991	53329150
ENSG00000177201.2	OR2T12	protein_coding	1066	olfactory receptor family 2 subfamily T member 12	chr1	248290139	248303424
ENSG00000177202.3	SPACA4	protein_coding	973	sperm acrosome associated 4	chr19	48606742	48607714
ENSG00000177212.4	OR2T33	protein_coding	1066	olfactory receptor family 2 subfamily T member 33	chr1	248269917	248277976
ENSG00000177225.17	GATD1	protein_coding	2203.94	glutamine amidotransferase class 1 domain containing 1	chr11	767220	777488
ENSG00000177233.2	OR2M1P	unprocessed_pseudogene	951	olfactory receptor family 2 subfamily M member 1 pseudogene	chr1	248121932	248122882
ENSG00000177234.7	LINC01561	lncRNA	2168	long intergenic non-protein coding RNA 1561	chr10	120597949	120600124
ENSG00000177238.14	TRIM72	protein_coding	6437.19	tripartite motif containing 72	chr16	31214091	31231537
ENSG00000177239.15	MAN1B1	protein_coding	2496.87	mannosidase alpha class 1B member 1	chr9	137086857	137109189
ENSG00000177243.3	DEFB103B	protein_coding	518	defensin beta 103B	chr8	7428888	7430348
ENSG00000177257.3	DEFB4B	protein_coding	337	defensin beta 4B	chr8	7414855	7416863
ENSG00000177261.8	ENSAP3	processed_pseudogene	333	endosulfine alpha pseudogene 3	chr2	214697727	214698059
ENSG00000177272.9	KCNA3	protein_coding	2476	potassium voltage-gated channel subfamily A member 3	chr1	110653560	110674940
ENSG00000177275.4	OR2AJ1	protein_coding	1873	olfactory receptor family 2 subfamily AJ member 1	chr1	247924889	247935339
ENSG00000177283.7	FZD8	protein_coding	4030	frizzled class receptor 8	chr10	35638247	35642296
ENSG00000177291.3	GJD4	protein_coding	1580	gap junction protein delta 4	chr10	35605341	35608935
ENSG00000177294.7	FBXO39	protein_coding	1529.18	F-box protein 39	chr17	6776215	6797101
ENSG00000177300.6	CLDN22	protein_coding	2581	claudin 22	chr4	183318100	183320276
ENSG00000177301.15	KCNA2	protein_coding	4544.27	potassium voltage-gated channel subfamily A member 2	chr1	110519837	110631474
ENSG00000177302.15	TOP3A	protein_coding	2792.31	DNA topoisomerase III alpha	chr17	18271428	18315007
ENSG00000177303.10	CASKIN2	protein_coding	2357.44	CASK interacting protein 2	chr17	75500261	75515537
ENSG00000177306.4	OR7E125P	unprocessed_pseudogene	846	olfactory receptor family 7 subfamily E member 125 pseudogene	chr8	7246726	7247571
ENSG00000177311.11	ZBTB38	protein_coding	3558.98	zinc finger and BTB domain containing 38	chr3	141324213	141449792
ENSG00000177324.13	BEND2	protein_coding	1938	BEN domain containing 2	chrX	18162931	18220886
ENSG00000177335.11	C8orf31	lncRNA	996.1	long intergenic non-protein coding RNA 2904	chr8	143039209	143060684
ENSG00000177337.8	DLGAP1-AS1	lncRNA	1249.68	DLGAP1 antisense RNA 1	chr18	3593732	3598363
ENSG00000177338.14	LINC00469	lncRNA	754.75	long intergenic non-protein coding RNA 469	chr17	73749270	73828520
ENSG00000177340.5	AC024940.1	lncRNA	1514	uncharacterized LOC79857	chr12	31324316	31325829
ENSG00000177350.6	RPL13AP3	transcribed_processed_pseudogene	1043.5	ribosomal protein L13a pseudogene 3	chr14	55766177	55767717
ENSG00000177352.10	CCDC71	protein_coding	1791	coiled-coil domain containing 71	chr3	49162535	49166331
ENSG00000177354.12	C10orf71	protein_coding	2771	chromosome 10 open reading frame 71	chr10	49299170	49327492
ENSG00000177359.20	AC024940.2	transcribed_unprocessed_pseudogene	1963.71	alpha-2-macroglobulin like 1 pseudogene	chr12	31112236	31201235
ENSG00000177363.5	LRRN4CL	protein_coding	2212	LRRN4 C-terminal like	chr11	62686406	62689530
ENSG00000177369.9	AC004797.1	lncRNA	1169.96	uncharacterized FLJ40194	chr17	49230853	49318011
ENSG00000177370.5	TIMM22	protein_coding	3182	translocase of inner mitochondrial membrane 22	chr17	997129	1003671
ENSG00000177374.13	HIC1	protein_coding	3138.87	HIC ZBTB transcriptional repressor 1	chr17	2054154	2063241
ENSG00000177380.14	PPFIA3	protein_coding	2142.37	PTPRF interacting protein alpha 3	chr19	49119544	49151026
ENSG00000177383.4	MAGEF1	protein_coding	1636	MAGE family member F1	chr3	184710364	184712064
ENSG00000177398.18	UMODL1	protein_coding	2549.43	uromodulin like 1	chr21	42062959	42143453
ENSG00000177400.6	OR7E8P	unprocessed_pseudogene	1000	olfactory receptor family 7 subfamily E member 8 pseudogene	chr8	12684154	12685153
ENSG00000177406.5	AC021054.1	lncRNA	2287.61	NINJ2 antisense RNA 1	chr12	630858	664196
ENSG00000177409.12	SAMD9L	protein_coding	4320.53	sterile alpha motif domain containing 9 like	chr7	93130056	93148385
ENSG00000177410.13	ZFAS1	lncRNA	630.08	ZNFX1 antisense RNA 1	chr20	49278178	49299600
ENSG00000177414.13	UBE2U	protein_coding	933.67	ubiquitin conjugating enzyme E2 U	chr1	64203623	64267368
ENSG00000177418.2	AC006001.1	processed_pseudogene	474		chr7	66556889	66557362
ENSG00000177425.11	PAWR	protein_coding	1144.44	pro-apoptotic WT1 regulator	chr12	79574979	79690964
ENSG00000177426.20	TGIF1	protein_coding	1370.73	TGFB induced factor homeobox 1	chr18	3411608	3459978
ENSG00000177427.13	MIEF2	protein_coding	1960.2	mitochondrial elongation factor 2	chr17	18260597	18266552
ENSG00000177432.7	NAP1L5	protein_coding	1915	nucleosome assembly protein 1 like 5	chr4	88695913	88697829
ENSG00000177447.6	CBX3P1	processed_pseudogene	554	chromobox 3 pseudogene 1	chr11	27806443	27806996
ENSG00000177452.7	AL161742.1	processed_pseudogene	584	ribosomal protein L19 pseudogene 3	chr1	63788721	63789304
ENSG00000177453.7	NIM1K	protein_coding	2929	NIM1 serine/threonine protein kinase	chr5	43192071	43280850
ENSG00000177455.14	CD19	protein_coding	1879.37	CD19 molecule	chr16	28931965	28939342
ENSG00000177459.11	ERICH5	protein_coding	1049.5	glutamate rich 5	chr8	98064522	98093610
ENSG00000177462.7	OR2T8	protein_coding	1105.37	olfactory receptor family 2 subfamily T member 8	chr1	247920252	247923152
ENSG00000177463.15	NR2C2	protein_coding	2445.74	nuclear receptor subfamily 2 group C member 2	chr3	14947583	15053600
ENSG00000177464.5	GPR4	protein_coding	1807	G protein-coupled receptor 4	chr19	45589764	45602212
ENSG00000177465.4	ACOT4	protein_coding	2362	acyl-CoA thioesterase 4	chr14	73591873	73595766
ENSG00000177468.6	OLIG3	protein_coding	2049	oligodendrocyte transcription factor 3	chr6	137492199	137494394
ENSG00000177469.13	CAVIN1	protein_coding	3570	caveolae associated protein 1	chr17	42402449	42423256
ENSG00000177476.3	OR2G3	protein_coding	930	olfactory receptor family 2 subfamily G member 3	chr1	247605586	247606515
ENSG00000177479.19	ARIH2	protein_coding	1154.99	ariadne RBR E3 ubiquitin protein ligase 2	chr3	48918821	48986382
ENSG00000177483.11	RBM44	protein_coding	3815.01	RNA binding motif protein 44	chr2	237798389	237842808
ENSG00000177485.7	ZBTB33	protein_coding	5214.37	zinc finger and BTB domain containing 33	chrX	120250752	120258398
ENSG00000177489.1	OR2G2	protein_coding	954	olfactory receptor family 2 subfamily G member 2	chr1	247588360	247589313
ENSG00000177494.6	ZBED2	protein_coding	2214	zinc finger BED-type containing 2	chr3	111592900	111595346
ENSG00000177504.10	VCX2	protein_coding	815	variable charge X-linked 2	chrX	8169944	8171267
ENSG00000177508.12	IRX3	protein_coding	2625	iroquois homeobox 3	chr16	54283304	54286787
ENSG00000177511.6	ST8SIA3	protein_coding	3702.67	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3	chr18	57352557	57371731
ENSG00000177519.4	RPRM	protein_coding	1425	reprimo, TP53 dependent G2 arrest mediator homolog	chr2	153477338	153478762
ENSG00000177535.8	OR2B11	protein_coding	3883	olfactory receptor family 2 subfamily B member 11	chr1	247449118	247458105
ENSG00000177542.11	SLC25A22	protein_coding	1718.47	solute carrier family 25 member 22	chr11	790475	798281
ENSG00000177548.13	RABEP2	protein_coding	1795.95	rabaptin, RAB GTPase binding effector protein 2	chr16	28904421	28936526
ENSG00000177551.5	NHLH2	protein_coding	3531	nescient helix-loop-helix 2	chr1	115836377	115843917
ENSG00000177553.6	AL953897.1	lncRNA	1868	C1orf167 antisense RNA 1	chr1	11777077	11779619
ENSG00000177556.12	ATOX1	protein_coding	924.58	antioxidant 1 copper chaperone	chr5	151742316	151772532
ENSG00000177558.3	FAM187B	protein_coding	1184	family with sequence similarity 187 member B	chr19	35224800	35228739
ENSG00000177565.16	TBL1XR1	protein_coding	3698.93	TBL1X/Y related 1	chr3	177019340	177228000
ENSG00000177570.14	SAMD12	protein_coding	2027	sterile alpha motif domain containing 12	chr8	118189455	118622112
ENSG00000177575.12	CD163	protein_coding	2417.16	CD163 molecule	chr12	7470811	7503893
ENSG00000177576.11	C18orf32	protein_coding	1342.14	chromosome 18 open reading frame 32	chr18	49477243	49487252
ENSG00000177586.6	OR7E149P	unprocessed_pseudogene	1023	olfactory receptor family 7 subfamily E member 149 pseudogene	chr12	8437403	8438425
ENSG00000177590.7	GIMAP3P	processed_pseudogene	836	GTPase, IMAP family member 3 pseudogene	chr7	150746893	150747728
ENSG00000177595.18	PIDD1	protein_coding	2831.69	p53-induced death domain protein 1	chr11	799179	809753
ENSG00000177596.1	AL355390.1	lncRNA	2328	uncharacterized LOC100288208	chr13	74412957	74419115
ENSG00000177599.13	ZNF491	protein_coding	1663.73	zinc finger protein 491	chr19	11797667	11809622
ENSG00000177600.9	RPLP2	protein_coding	474.16	ribosomal protein lateral stalk subunit P2	chr11	809965	812880
ENSG00000177602.5	HASPIN	protein_coding	2797	histone H3 associated protein kinase	chr17	3723903	3726699
ENSG00000177606.6	JUN	protein_coding	3540	Jun proto-oncogene, AP-1 transcription factor subunit	chr1	58776845	58784048
ENSG00000177613.8	CSTF2T	protein_coding	4105	cleavage stimulation factor subunit 2 tau variant	chr10	51695486	51699595
ENSG00000177614.11	PGBD5	protein_coding	4353.67	piggyBac transposable element derived 5	chr1	230314490	230426332
ENSG00000177627.10	C12orf54	protein_coding	490	chromosome 12 open reading frame 54	chr12	48482498	48496524
ENSG00000177628.16	GBA	protein_coding	1704.51	glucosylceramidase beta 1	chr1	155234452	155244699
ENSG00000177640.16	CASC2	lncRNA	4043.22	cancer susceptibility 2	chr10	118046279	118210158
ENSG00000177646.19	ACAD9	protein_coding	1579.5	acyl-CoA dehydrogenase family member 9	chr3	128879596	128924003
ENSG00000177663.13	IL17RA	protein_coding	7103.54	interleukin 17 receptor A	chr22	17084954	17115693
ENSG00000177666.17	PNPLA2	protein_coding	2009.1	patatin like phospholipase domain containing 2	chr11	818914	825573
ENSG00000177669.3	MBOAT4	protein_coding	1512	membrane bound O-acyltransferase domain containing 4	chr8	30131671	30144665
ENSG00000177673.3	TEX44	protein_coding	1383	testis expressed 44	chr2	231592864	231594276
ENSG00000177674.16	AGTRAP	protein_coding	1087.16	angiotensin II receptor associated protein	chr1	11736084	11754802
ENSG00000177675.8	CD163L1	protein_coding	2002	CD163 molecule like 1	chr12	7346685	7479897
ENSG00000177679.16	SRRM3	protein_coding	1940.4	serine/arginine repetitive matrix 3	chr7	76201896	76287288
ENSG00000177683.14	THAP5	protein_coding	1887.84	THAP domain containing 5	chr7	108554543	108569750
ENSG00000177684.3	DEFB114	protein_coding	253	defensin beta 114	chr6	49960249	49964164
ENSG00000177685.17	CRACR2B	protein_coding	1007.27	calcium release activated channel regulator 2B	chr11	826144	831991
ENSG00000177688.6	SUMO4	protein_coding	1066	small ubiquitin like modifier 4	chr6	149400262	149401278
ENSG00000177689.10	MAGEB10	protein_coding	1671	MAGE family member B10	chrX	27807990	27823014
ENSG00000177692.11	DNAJC28	protein_coding	1480	DnaJ heat shock protein family (Hsp40) member C28	chr21	33485530	33491716
ENSG00000177693.4	OR4F4	protein_coding	1063	olfactory receptor family 4 subfamily F member 4	chr15	101922042	101923113
ENSG00000177694.16	NAALADL2	protein_coding	956.56	N-acetylated alpha-linked acidic dipeptidase like 2	chr3	174438573	175810548
ENSG00000177697.19	CD151	protein_coding	1175.46	CD151 molecule (Raph blood group)	chr11	832887	839831
ENSG00000177699.4	AC011944.1	lncRNA	1900	uncharacterized LOC100129540	chr15	78978889	78985926
ENSG00000177700.6	POLR2L	protein_coding	862.36	RNA polymerase II, I and III subunit L	chr11	837356	842529
ENSG00000177706.9	FAM20C	protein_coding	2305.09	FAM20C golgi associated secretory pathway kinase	chr7	192571	260772
ENSG00000177707.11	NECTIN3	protein_coding	1853.64	nectin cell adhesion molecule 3	chr3	111070071	111275563
ENSG00000177710.5	SLC35G5	protein_coding	1321	solute carrier family 35 member G5	chr8	11331012	11332360
ENSG00000177721.4	ANXA2R	protein_coding	1997.49	annexin A2 receptor	chr5	43039233	43043170
ENSG00000177725.5	AC105206.1	lncRNA	2371		chr8	22169338	22171708
ENSG00000177728.17	TMEM94	protein_coding	1479.78	transmembrane protein 94	chr17	75441159	75500452
ENSG00000177731.16	FLII	protein_coding	1645.47	FLII actin remodeling protein	chr17	18244815	18258738
ENSG00000177732.8	SOX12	protein_coding	4630	SRY-box transcription factor 12	chr20	325552	330224
ENSG00000177733.6	HNRNPA0	protein_coding	8726	heterogeneous nuclear ribonucleoprotein A0	chr5	137745651	137754363
ENSG00000177736.4	FXNP2	processed_pseudogene	547	frataxin pseudogene 2	chr9	124968294	124968840
ENSG00000177738.4	AC025171.1	lncRNA	1904.93	ANXA2R overlapping transcript	chr5	43013060	43067452
ENSG00000177752.14	YIPF7	protein_coding	484	Yip1 domain family member 7	chr4	44622088	44678556
ENSG00000177757.2	FAM87B	lncRNA	1947	family with sequence similarity 87 member B	chr1	817371	819837
ENSG00000177770.11	CDKN2AIPNLP1	processed_pseudogene	302	CDKN2A interacting protein N-terminal like pseudogene 1	chr1	226493188	226493489
ENSG00000177776.8	RPS2P2	processed_pseudogene	601	ribosomal protein S2 pseudogene 2	chr14	74377818	74378418
ENSG00000177788.6	AL162595.1	lncRNA	2994.46	RAB4A antisense RNA 1	chr1	229256892	229271242
ENSG00000177791.11	MYOZ1	protein_coding	1541	myozenin 1	chr10	73631612	73641474
ENSG00000177800.2	TMEM78	lncRNA	2175	transmembrane protein 78	chr1	229249636	229251810
ENSG00000177803.7	AC112247.1	processed_pseudogene	657	YWHAQ pseudogene 4	chr4	163932526	163933182
ENSG00000177807.10	KCNJ10	protein_coding	2968	potassium inwardly rectifying channel subfamily J member 10	chr1	159998651	160070160
ENSG00000177822.8	TENM3-AS1	lncRNA	1093.44	TENM3 antisense RNA 1	chr4	181874438	182145249
ENSG00000177830.17	CHID1	protein_coding	1399.89	chitinase domain containing 1	chr11	867859	915058
ENSG00000177839.6	PCDHB9	protein_coding	1514.48	protocadherin beta 9	chr5	141187127	141191541
ENSG00000177842.12	ZNF620	protein_coding	2421.28	zinc finger protein 620	chr3	40477131	40518736
ENSG00000177853.14	ZNF518A	protein_coding	6567.19	zinc finger protein 518A	chr10	96129715	96205288
ENSG00000177854.8	TMEM187	protein_coding	1452	transmembrane protein 187	chrX	153972754	153983194
ENSG00000177855.8	CACYBPP2	processed_pseudogene	678	calcyclin binding protein pseudogene 2	chr2	183607442	183608119
ENSG00000177868.12	SVBP	protein_coding	787.07	small vasohibin binding protein	chr1	42807052	42817397
ENSG00000177873.13	ZNF619	protein_coding	2854.52	zinc finger protein 619	chr3	40477113	40491053
ENSG00000177875.4	CCDC184	protein_coding	2343	coiled-coil domain containing 184	chr12	48183644	48185926
ENSG00000177879.16	AP3S1	protein_coding	1066.89	adaptor related protein complex 3 subunit sigma 1	chr5	115841592	115914081
ENSG00000177885.15	GRB2	protein_coding	2155.85	growth factor receptor bound protein 2	chr17	75318076	75405709
ENSG00000177888.7	ZBTB41	protein_coding	6153.9	zinc finger and BTB domain containing 41	chr1	197153682	197201293
ENSG00000177889.10	UBE2N	protein_coding	1421.59	ubiquitin conjugating enzyme E2 N	chr12	93405673	93441947
ENSG00000177910.7	SPATA31C2	unprocessed_pseudogene	3777	SPATA31 subfamily C member 2	chr9	88129305	88138475
ENSG00000177917.10	ARL6IP6	protein_coding	1945.41	ADP ribosylation factor like GTPase 6 interacting protein 6	chr2	152717647	152762396
ENSG00000177932.6	ZNF354C	protein_coding	5411	zinc finger protein 354C	chr5	179060373	179083977
ENSG00000177938.4	CAPZA3	protein_coding	1087	capping actin protein of muscle Z-line subunit alpha 3	chr12	18738119	18739188
ENSG00000177943.14	MAMDC4	protein_coding	3598.68	MAM domain containing 4	chr9	136850943	136860799
ENSG00000177946.6	CENPBD1	protein_coding	2380.17	CENPB DNA-binding domain containing 1, pseudogene	chr16	89969791	89972534
ENSG00000177947.13	ODF3	protein_coding	1377.5	outer dense fiber of sperm tails 3	chr11	196761	200261
ENSG00000177951.17	BET1L	protein_coding	2104.7	Bet1 golgi vesicular membrane trafficking protein like	chr11	167784	207399
ENSG00000177954.14	RPS27	protein_coding	367.02	ribosomal protein S27	chr1	153990762	153992155
ENSG00000177963.14	RIC8A	protein_coding	1862.77	RIC8 guanine nucleotide exchange factor A	chr11	207708	215113
ENSG00000177971.8	IMP3	protein_coding	1237	IMP U3 small nucleolar ribonucleoprotein 3	chr15	75639085	75648706
ENSG00000177981.11	ASB8	protein_coding	1322.01	ankyrin repeat and SOCS box containing 8	chr12	48147789	48181213
ENSG00000177984.7	LCN15	protein_coding	2885	lipocalin 15	chr9	136759634	136766255
ENSG00000177989.13	ODF3B	protein_coding	1002.46	outer dense fiber of sperm tails 3B	chr22	50529710	50532506
